Item Code,Description,Base UOM,Item Group,Item Type
0133430602,(2#)R6.0MM L6.0M G250 ROUND BAR IN LENGTH  ,PC,01-3,0
013343070,R7.0MM L6.0M G250 ROUND BAR IN LENGTH ,PC,01-3,0
013343080,R8.0MM L6.0M G250 ROUND BAR IN LENGTH,PC,01-3,0
013343090,R9.0MM L6.0M G250 ROUND BAR IN LENGTH,PC,01-3,0
013343100,R10.0MM L6.0M G250  ROUND BAR IN LENGTH ,PC,01-3,0
013344050,R5.0MM L6.0M G250 ROUND BAR IN LENGTH (640PCS),BDLE,01-3,0
013344060,R6.0MM L6.0M G250 ROUND BAR IN LENGTH (640PCS),BDLE,01-3,0
013344070,R7.0MM L6.0M G250 ROUND BAR IN LENGTH (300PCS),BDLE,01-3,0
013344080,R8.0MM L6.0M G250  ROUND BAR IN LENGTH (300PCS),BDLE,01-3,0
013344090,R9.0MM L6.0M G250 ROUND BAR IN LENGTH(276PCS),BDLE,01-3,0
013344100,R10.0MM L6.0M G250  ROUND BAR IN LENGTH (276PCS),BDLE,01-3,0
0133A5,ROUND BAR IN LENGTH (SPECIAL ORDER),PC,01-8,0
0134101,HTB-10 OG (RIBBED)(138PCS),PC,00-3,0
01341012,HTB-10 OG 2# (RIBBED)(138PCS),PC,00-3,0
0134121,HTB-12 OG (RIBBED)(96PCS),PC,00-3,0
01341212,HTB-12 OG 2# (RIBBED)(96PCS),PC,00-3,0
0134160,HTB-16 OG (RIBBED)(54PCS),PC,00-3,0
01341602,HTB-16 OG 2# (RIBBED)(54PCS),PC,00-3,0
01400045,4.5MM HARD DRAWN WIRE,KG,01-4,0
01410850,8G(3.8MM) X 50KGS GALVD WIRE???,KG,01-4,0
01410950,9G(3.5MM) X 50KGS GALVD WIRE???,KG,01-4,0
01411050,10G(3.0MM) X 50KGS GALVD WIRE???,KG,01-4,0
014110503,10G X 50KGS X 3# GALVD WIRE???,KG,01-4,0
01411150,11G(2.7MM/2.8MM/2.9MM)X50KGS GALVD WIRE???,KG,01-4,0
01411250,12G(2.4MM/2.5MM) X 50KGS GALVD WIRE???,KG,01-4,0
01411350,13G(2.1MM/2.2MM/2.3MM) X 50KGS GALVD WIRE???,KG,01-4,0
01411450,14G(2.0MM) X 50KGS GALVD WIRE???,KG,01-4,0
01411620,16G(1.6MM) X 20KGS GALVD WIRE???,KG,01-4,0
01411624,16G(1.6MM) X 24KGS GALVD WIRE???,KG,01-4,0
01411650,16G(1.6MM) X 50KGS GALVD WIRE???,KG,01-4,0
01411910,19G X 10KGS GALVD WIRE???,KG,01-4,0
01411950,"19MM(3/4"") X 0.55MM BLUE STEEL STRAP(BALING HOOP) ??",KG,21-3,2
01412010,20G X 10KGS GALVD WIRE???,KG,01-4,0
01412011,0.40MM(+- ) X 10KGS GALVD WIRE???,ROLL,01-4,0
01420002,10G PVC COATED WIRE (LOOSE),KG,01-4,0
01420003,10G X 3# PVC COATED WIRE,KG,01-4,0
01421050,10G(3.0MM) X 50KGS PVC COATED WIRE,ROLL,01-4,0
